run_id,cohort,raw_status,raw_uri,raw_format,raw_files_n,raw_bytes,reads_total,signal_positive,unblock_mux_change,data_service_unblock_mux_change,mux_change,signal_negative,other,count_command,code_commit,slurm_job_id,started_at,finished_at,source_before_rerun,flow_cell,kit,notes
ER23,internal,full_raw_counted,pod5(with pod5 skip),pod5,,,249657,,,,,,,,,,,,seqsum_full_n_refill,FLO-MIN114,RAD114,catalogue_sheet4 source; full GL recount completed from /nfs/turbo/umms-atheylab/backup_from_desktop/Files_On_Linux_Desktop/data2/sequencing_data/WholeEColiGenomeAssembly/3-1_2987_0_5mL_chloe_rapidkit/20250329_1432_MD-101527_FBA70225_e42fb2cc.
ER24,internal,full_raw_counted,pod5,pod5,,,9502,,,,,,,,,,,,seqsum_full_n_refill,FLO-FLG114,RAD114,catalogue_sheet4 source; full GL recount completed from /nfs/turbo/umms-atheylab/backup_from_desktop/Files_On_Linux_Desktop/data2/sequencing_data/pCYP_ecoli_rapid_kit/A_2925_labstandard_plasmid_only/20250523_1746_MD-101527_AZL268_c9016532.
ER25,internal,full_raw_counted,pod5,pod5,,,15321,,,,,,,,,,,,seqsum_full_n_refill,FLO-FLG114,RAD114,catalogue_sheet4 source; full GL recount completed from /nfs/turbo/umms-atheylab/backup_from_desktop/Files_On_Linux_Desktop/data2/sequencing_data/pCYP_ecoli_rapid_kit/2C_HMW_DNA_EXTRACT_Ecoli_2925/20250523_1753_MD-100098_AYI507_e44c5db4.
PAW53533,external,raw_unavailable,,,,,275,,,,,,,,,,,,(blank),FLO-PRO114M,sqk-lsk114,In ont-open-data/compost_mgx_2026.04/raw/20240723_1746_4B_PAW53533_f802c0cd/; no sequencing_summary files in bucket; POD5 full download is ~603 GB — infeasible locally. Requires GL scratch for pod5_full_n recount.
PAW91996,external,raw_unavailable,,,,,1692,,,,,,,,,,,,(blank),FLO-PRO114M,sqk-lsk114,In ont-open-data/compost_mgx_2026.04; no sequencing_summary; POD5 full download infeasible locally. Requires GL.
PAW97819,external,raw_unavailable,,,,,1048,,,,,,,,,,,,(blank),FLO-PRO114M,sqk-lsk114,In ont-open-data/compost_mgx_2026.04; no sequencing_summary; POD5 full download infeasible locally. Requires GL.
PBC16207,external,raw_unavailable,,,,,19787,,,,,,,,,,,,(blank),FLO-PRO114M,sqk-lsk114,In ont-open-data/sc_gemx_2025.02/raw/seq_sum/293t/293t_1_1_long/; sequencing_summary is 58 GB — infeasible to download locally. Requires GL scratch for full seqsum parse.
giab_lsk114_2022.12,external,full_raw_counted,,,,,7569897,,,,,,,,,,,,seqsum_full_n_refill,FLO-PRO114M,sqk-lsk114,"Full-N count from seqsum_full_n_refill (pipeline-derived, all reads)."
giab_2025.01,external,full_raw_counted,,,,,8217146,,,,,,,,,,,,seqsum_full_n_refill,FLO-PRO114M,sqk-lsk114,"Full-N count from seqsum_full_n_refill (pipeline-derived, all reads)."
colo829_2024.03,external,full_raw_counted,,,,,6084577,,,,,,,,,,,,seqsum_full_n_refill,FLO-PRO114M,sqk-lsk114,"Full-N count from seqsum_full_n_refill (pipeline-derived, all reads)."
FBC24981,external,full_raw_counted,,,,,65308,,,,,,,,,,,,(blank),FLO-MIN114,sqk-rbk114,"2026-05-29 provenance says this ONT Open Data plasmid_2025.04 row was counted directly from full POD5, but JSON source label is blank."
FBC27737,external,full_raw_counted,,,,,71986,,,,,,,,,,,,(blank),FLO-MIN114,sqk-rbk114,"2026-05-29 provenance says this ONT Open Data plasmid_2025.04 row was counted directly from full POD5, but JSON source label is blank."
FBC27807,external,full_raw_counted,,,,,71092,,,,,,,,,,,,(blank),FLO-MIN114,sqk-rbk114,"2026-05-29 provenance says this ONT Open Data plasmid_2025.04 row was counted directly from full POD5, but JSON source label is blank."
FBC27848,external,full_raw_counted,,,,,66793,,,,,,,,,,,,(blank),FLO-MIN114,sqk-rbk114,"2026-05-29 provenance says this ONT Open Data plasmid_2025.04 row was counted directly from full POD5, but JSON source label is blank."
FBB34001,external,raw_unavailable,,,,,40873,,,,,,,,,,,,pod5_subsample,FLO-MIN114,sqk-nbd114,"pod5_subsample: counted from a single POD5 file (40,873 reads) from Zenodo 18889583. Full dataset download from Zenodo is feasible but requires significant time. Current count is a valid but partial sample."
FAW83592,external,full_raw_counted,,,,,48617,,,,,,,,,,,,fast5_full,FLO-MIN114,sqk-nbd114,Full FAST5 raw-signal count already present.
gm24385_q20_2021.10,external,full_raw_counted,,,,,22158929,,,,,,,,,,,,seqsum_full_n_refill,FLO-PRO002,sqk-lsk110,"Full-N count from seqsum_full_n_refill (pipeline-derived, all reads)."
